Off_Rank,Team,Games,Points,Yards,Off_Plays,Fum_Lost,Fdowns,Pass_Comp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Pass_NYPA,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Rush_YPA,Rush_1stD,Off_Pen,Off_Pen_Yds,Def_Rank,Opp_Points,Yds_Allowed,Def_YPP,Takeaways,Fdowns_Allowed,Pass_Yds_Allowed,Pass_TD_Allowed,Interceptions,Def_Pass_NYPA,Pass_1stD_Allowed,Rush_Yds_Allowed,Rush_TD_Allowed,Def_Rush_YPA,Rush_1stD_Allowed,Def_Pen,Def_Pen_Yds
7,Oakland Raiders,16,416,5973,1048,7,333,379,596,4051,29,7,6.6,198,434,1922,17,4.4,98,147,1247,20,385,6001,6.1,30,318,4120,27,16,7.3,188,1881,18,4.5,94,115,1062
13,Kansas City Chiefs,16,389,5488,990,9,305,365,546,3740,19,8,6.5,197,412,1748,15,4.2,86,109,848,7,311,5896,5.5,33,342,3958,23,18,6.3,209,1938,10,4.4,102,109,797
8,Indianapolis Colts,16,411,5830,1037,7,351,370,584,4202,32,15,6.7,220,409,1628,13,4,93,103,883,22,392,6126,6,17,353,4200,27,8,6.8,225,1926,12,4.7,93,125,1155
24,Cincinnati Bengals,16,325,5711,1050,9,341,364,563,3942,18,8,6.5,204,446,1769,17,4,100,88,726,8,315,5612,5.4,20,327,3800,22,17,6.1,196,1812,12,4.4,95,105,950
9,San Diego Chargers,16,410,5708,1014,14,340,349,580,4198,33,21,6.8,214,398,1510,10,3.8,90,107,780,29,423,5554,5.4,28,329,3987,21,18,6.5,204,1567,20,3.8,98,119,837
21,Baltimore Ravens,16,343,5563,1079,7,316,439,679,4100,20,16,5.8,205,367,1463,10,4,79,125,1111,9,321,5154,5.2,28,294,3724,28,18,6.1,190,1430,10,3.7,74,94,900
10,Pittsburgh Steelers,16,399,5962,1026,3,336,381,596,4202,33,15,6.8,210,409,1760,13,4.3,97,112,1068,10,327,5482,5.5,23,313,3882,20,13,6.2,184,1600,15,4.3,95,109,920
11,Buffalo Bills,16,399,5666,1012,5,328,286,474,3036,17,7,5.8,155,492,2630,29,5.3,146,112,960,16,378,5712,5.6,18,338,3582,19,12,6.5,183,2130,21,4.5,122,106,884
29,Houston Texans,16,279,5035,1071,8,305,347,583,3176,15,16,5.2,173,456,1859,8,4.1,102,87,868,11,328,4821,5.1,17,272,3226,20,11,5.8,157,1595,13,4,87,114,949
12,Washington Redskins,16,396,6454,1009,9,345,407,607,4758,25,12,7.6,226,379,1696,17,4.5,89,110,909,19,383,6046,5.8,21,368,4130,22,13,6.6,225,1916,19,4.5,109,100,1023
16,Philadelphia Eagles,16,367,5398,1080,6,333,380,609,3585,16,14,5.6,192,438,1813,16,4.1,114,113,945,12,331,5484,5.6,26,300,3832,25,16,6.5,177,1652,10,4.2,89,99,837
20,Detroit Lions,16,346,5421,981,5,329,388,594,4111,24,10,6.5,217,350,1310,9,3.7,76,100,861,13,358,5676,5.9,14,333,3975,33,10,6.9,206,1701,8,4.4,99,122,979
14,Tennessee Titans,16,381,5728,1008,7,322,307,504,3541,29,11,6.7,175,476,2187,16,4.6,115,110,1012,17,378,5720,5.5,18,324,4307,25,12,6.4,227,1413,10,4,70,137,1191
15,Carolina Panthers,16,369,5499,1052,10,318,306,563,3685,21,19,6.2,194,453,1814,16,4,99,98,835,26,402,5756,5.6,27,329,4291,27,17,6.5,223,1465,11,3.9,90,112,907
19,Tampa Bay Buccaneers,16,354,5542,1066,9,340,355,578,3926,29,18,6.4,220,453,1616,8,3.6,80,109,926,15,369,5887,5.8,29,326,4012,24,17,6.8,203,1875,15,4.4,102,121,1061
17,Miami Dolphins,16,363,5324,913,8,278,316,477,3500,27,15,6.9,167,406,1824,14,4.5,90,125,1142,18,380,6122,5.6,25,349,3875,30,16,6.2,199,2247,12,4.8,109,109,919
32,Los Angeles Rams,16,224,4203,960,9,245,312,536,2951,14,20,5,151,375,1252,9,3.3,68,126,1091,23,394,5392,5.2,18,325,3732,32,10,6.1,194,1660,12,3.9,91,108,920
28,Chicago Bears,16,279,5704,967,12,324,347,559,3969,19,19,6.8,212,380,1735,10,4.6,93,110,967,24,399,5548,5.5,11,322,3598,22,8,6.3,188,1950,18,4.4,99,103,959
25,Jacksonville Jaguars,16,318,5359,1052,13,321,369,626,3728,24,16,5.6,207,392,1631,8,4.2,75,129,1187,25,400,5147,5,13,305,3444,20,7,5.9,174,1703,17,3.8,93,101,948
27,San Francisco 49ers,16,309,4930,996,15,287,287,491,2911,21,10,5.4,152,458,2019,15,4.4,116,99,831,32,480,6502,5.9,20,358,3848,30,10,6.9,187,2654,25,4.8,140,93,795
30,New York Jets,16,275,5268,1003,9,291,311,550,3466,16,25,5.9,166,418,1802,10,4.3,97,93,837,28,409,5479,5.5,14,318,3898,30,8,6.8,203,1581,11,3.7,86,74,651
31,Cleveland Browns,16,264,4976,983,11,296,338,567,3264,15,14,5.2,181,350,1712,13,4.9,83,95,736,30,452,6279,5.9,13,364,3996,36,10,7,220,2283,18,4.6,121,104,930
