Off_Rank,Team,Games,Points,Yards,Off_Plays,Fum_Lost,Fdowns,Pass_Comp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Pass_NYPA,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Rush_YPA,Rush_1stD,Off_Pen,Off_Pen_Yds,Def_Rank,Opp_Points,Yds_Allowed,Def_YPP,Takeaways,Fdowns_Allowed,Pass_Yds_Allowed,Pass_TD_Allowed,Interceptions,Def_Pass_NYPA,Pass_1stD_Allowed,Rush_Yds_Allowed,Rush_TD_Allowed,Def_Rush_YPA,Rush_1stD_Allowed,Def_Pen,Def_Pen_Yds
1,Atlanta Falcons,16,540,6653,995,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,104,848,27,406,5939,5.6,22,358,4267,31,12,6.2,232,1672,15,4.5,95,113,974
3,New England Patriots,16,441,6180,1056,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,1,250,5223,5.2,23,294,3806,21,13,6,190,1417,6,3.9,81,113,930
2,New Orleans Saints,16,469,6816,1105,9,395,472,674,5074,38,15,7.2,265,404,1742,17,4.3,105,107,969,31,454,6006,6,21,353,4380,27,9,7.2,230,1626,19,4.1,91,104,881
26,New York Giants,16,310,5291,1018,11,289,377,598,3879,26,16,6.3,190,398,1412,6,3.5,73,88,857,2,284,5435,5.1,25,298,4018,15,17,6,191,1417,10,3.6,82,104,853
18,Seattle Seahawks,16,354,5715,1012,6,313,368,567,4124,23,12,6.8,203,403,1591,13,3.9,85,117,970,3,292,5099,5,19,307,3612,16,11,6.2,180,1487,16,3.4,94,103,925
4,Green Bay Packers,16,432,5900,1029,9,349,403,620,4199,40,8,6.4,222,374,1701,11,4.5,91,100,827,21,388,5823,5.9,25,329,4308,32,17,7.1,227,1515,11,4,80,109,964
22,Denver Broncos,16,333,5169,1020,14,290,339,570,3685,20,11,6,181,410,1484,11,3.6,76,119,985,4,297,5057,4.7,27,306,2972,13,14,5,169,2085,15,4.3,101,110,990
5,Dallas Cowboys,16,421,6027,1010,9,358,325,483,3631,25,6,7.1,191,499,2396,24,4.8,142,105,879,5,306,5503,5.5,20,330,4167,25,9,6.2,226,1336,9,3.9,79,90,784
6,Arizona Cardinals,16,418,5868,1086,11,368,383,646,4136,28,17,6,229,399,1732,20,4.3,97,104,889,14,362,4883,4.8,28,293,3365,21,14,5.7,175,1518,16,3.6,90,123,1010
23,Minnesota Vikings,16,327,5041,1006,11,303,414,588,3836,20,5,6.1,209,380,1205,9,3.2,66,103,882,6,307,5038,5.1,27,304,3327,22,14,5.6,186,1711,9,4.2,87,99,825
